apple,яблоко,yabloko
baby,ребенок,rebenok
back,спина,spina
ball,мяч,myach
bear,медведь,medved'
bed,кровать,krovat'
bell,звонок,zvonok
bird,птица,ptitsa
birthday,день рождения,den' rozhdeniya
boat,лодка,lodka
box,коробка,korobka
boy,мальчик,mal'chik
bread,Хлеб,Khleb
brother,брат,brat
cake,торт,tort
car,машина,mashina
cat,Кот,Kot
chair,стул,stul
chicken,курица,kuritsa
children,дети,deti
Christmas,Рождество,Rozhdestvo
coat,пальто,pal'to
corn,кукуруза,kukuruza
cow,корова,korova
day,день,den'
dog,собака,sobaka
doll,кукла,kukla
door,дверь,dver'
duck,утка,utka
egg,яйцо,yaytso
eye,глаз,glaz
farm,ферма,ferma
farmer,фермер,fermer
father,отец,otets
feet,ступни,stupni
fire,Огонь,Ogon'
fish,рыба,ryba
floor,пол,pol
flower,цветок,tsvetok
game,игра,igra
garden,сад,sad
girl,девушка,devushka
good-bye,прощай,proshchay
grass,трава,trava
ground,земля,zemlya
hand,рука,ruka
head,голова,golova
hill,холм,kholm
home,дом,dom
horse,лошадь,loshad'
house,дом,dom
kitty,котенок,kotenok
leg,нога,noga
letter,письмо,pis'mo
man,тот человек,tot chelovek
men,мужчины,muzhchiny
milk,молоко,moloko
money,деньги,den'gi
morning,утро,utro
mother,мама,mama
name,имя,imya
nest,гнездо,gnezdo
night,ночь,noch'
paper,бумага,bumaga
party,вечеринка,vecherinka
picture,изображение,izobrazheniye
pig,свинья,svin'ya
rabbit,кролик,krolik
rain,дождь,dozhd'
ring,кольцо,kol'tso
robin,робин,robin
Santa Claus,Санта-Клаус,Santa-Klaus
school,школа,shkola
seed,семя,semya
sheep,овца,ovtsa
shoe,ботинок,botinok
sister,сестра,sestra
snow,снег,sneg
song,песня,pesnya
squirrel,белка,belka
stick,палка,palka
street,улица,ulitsa
sun,солнце,solntse
