I am,Я,YA
I have,У меня есть,U menya yest'
I do,Я делаю,YA delayu
I say,Я говорю,YA govoryu
I go,Я хожу,YA khozhu
I can,Я могу,YA mogu
I get,Я получил,YA poluchil
I would,Я бы,YA by
I make,Я делаю,YA delayu
I know,Я знаю,YA znayu
I will,Я буду,YA budu
I think,Я думаю,YA dumayu
I take,Я беру,YA beru
I see,Я вижу,YA vizhu
I come,Я прихожу,YA prikhozhu
I could,Я мог бы,YA mog by
I want,Я хочу,YA khochu
I look,Я выгляжу,YA vyglyazhu
I use,Я использую,YA ispol'zuyu
I find,Я нахожу,YA nakhozhu
I give,Я даю,YA dayu
I tell,Я говорю,YA govoryu
I work,Я работаю,YA rabotayu
I May,Я могу,YA mogu
I should,Я должен,YA dolzhen
I call,Я звоню,YA zvonyu
I try,Я попробую,YA poprobuyu
I ask,Я спрашиваю,YA sprashivayu
I need,Мне нужно,Mne nuzhno
I feel,Я чувствую,YA chuvstvuyu
I become,Я становлюсь,YA stanovlyus'
I leave,Я ухожу,YA ukhozhu
I put,Я кладу,YA kladu
I mean,Я имею в виду,YA imeyu v vidu
I keep,Я держу,YA derzhu
I let,Я позволяю,YA pozvolyayu
I begin,Я начинаю,YA nachinayu
I seem,Я кажется,YA kazhetsya
I help,Я помогаю,YA pomogayu
I talk,Я говорю,YA govoryu
I turn,Я поворачиваю,YA povorachivayu
I start,Я начал,YA nachal
I might,Я мог бы,YA mog by
I show,Я показываю,YA pokazyvayu
I hear,Я слышу,YA slyshu
I play,Я играю,YA igrayu
I run,Я бегу,YA begu
I move,Я двигаюсь,YA dvigayus'
I like,Мне нравится,Mne nravitsya
I live,Я живу,YA zhivu
I believe,Я верю,YA veryu
I hold,Я держу,YA derzhu
I bring,Я ношу,YA noshu
I happen,Я случайно,YA sluchayno
I must,Я должен,YA dolzhen
I write,Я пишу,YA pishu
I provide,Я обеспечиваю,YA obespechivayu
I sit,Это,Eto
I stand,Я стою,YA stoyu
I lose,Я проиграл,YA proigral
I pay,Я плачу,YA plachu
I meet,Я встречаю,YA vstrechayu
I include,Я включаю,YA vklyuchayu
I continue,Я продолжаю,YA prodolzhayu
I set,Я установил,YA ustanovil
I learn,Я учу,YA uchu
I change,Я меняю,YA menyayu
I lead,Я веду,YA vedu
I understand,Я понимаю,YA ponimayu
I watch,Я смотрю,YA smotryu
I follow,Я следую,YA sleduyu
I stop,Я остановился,YA ostanovilsya
I create,Я создаю,YA sozdayu
I speak,Я говорю,YA govoryu
I read,Я читаю,YA chitayu
I allow,Я разрешаю,YA razreshayu
I add,Я добавить,YA dobavit'
I spend,Я потратил,YA potratil
I grow,Я расту,YA rastu
I open,Я открываю,YA otkryvayu
I walk,Я иду пешком,YA idu peshkom
I win,Я выигрываю,YA vyigryvayu
I offer,Я предлагаю,YA predlagayu
I remember,Я помню,YA pomnyu
I love,Я люблю,YA lyublyu
I consider,Я полагаю,YA polagayu
I appear,Я появился,YA poyavilsya
I buy,Я покупаю,YA pokupayu
I wait,Я жду,YA zhdu
I serve,Я подаю,YA podayu
I die,Я умер,YA umer
I send,Я отправляю,YA otpravlyayu
I expect,Я жду,YA zhdu
I build,Я строю,YA stroyu
I stay,Я остаюсь,YA ostayus'
I fall,Я упал,YA upal
I cut,Я режу,YA rezhu
I reach,Я богат,YA bogat
I kill,Я убиваю,YA ubivayu
I remain,Я остаюсь,YA ostayus'
